astraweave-physics/src/environment.rs:198:51: replace * with + in WindZone::wind_force_at
astraweave-physics/src/environment.rs:198:59: replace * with / in WindZone::wind_force_at
astraweave-physics/src/environment.rs:198:59: replace * with + in WindZone::wind_force_at
astraweave-physics/src/environment.rs:198:78: replace * with / in WindZone::wind_force_at
astraweave-physics/src/environment.rs:198:78: replace * with + in WindZone::wind_force_at
astraweave-physics/src/environment.rs:211:36: replace - with + in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:213:24: replace / with * in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:213:24: replace / with % in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:216:24: replace - with + in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:216:57: replace / with * in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:216:57: replace / with % in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:219:35: replace - with + in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:220:81: replace / with * in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:220:81: replace / with % in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:221:51: replace / with * in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:221:51: replace / with % in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:221:61: replace / with * in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:221:61: replace / with % in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:226:32: replace * with / in WindZone::calculate_falloff
astraweave-physics/src/environment.rs:232:36: replace * with / in WindZone::update
astraweave-physics/src/environment.rs:232:36: replace * with + in WindZone::update
astraweave-physics/src/environment.rs:236:35: replace * with / in WindZone::update
